"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-01","1980","01","01","","-23.3","","-26.5","","-24.9","","42.9","","0.0","","0.0","","1.0","","1.0","","15","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-02","1980","01","02","","-24.4","","-26.0","","-25.2","","43.2","","0.0","","0.0","","3.9","","3.9","","18","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-03","1980","01","03","","-22.8","","-28.0","","-25.4","","43.4","","0.0","","0.0","","2.1","","1.9","","21","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-04","1980","01","04","","-26.0","","-40.8","","-33.4","","51.4","","0.0","","0.0","","0.0","T","0.0","T","22","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-05","1980","01","05","","-21.3","","-41.6","","-31.5","","49.5","","0.0","","0.0","","0.4","","0.4","","22","","18","","54",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-06","1980","01","06","","-18.1","","-23.5","","-20.8","","38.8","","0.0","","0.0","","0.6","","0.6","","22","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-07","1980","01","07","","-14.5","","-21.3","","-17.9","","35.9","","0.0","","0.0","","3.6","","2.4","","24","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-08","1980","01","08","","-21.0","","-34.5","","-27.8","","45.8","","0.0","","0.0","","0.6","","0.6","","27","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-09","1980","01","09","","-14.4","","-24.7","","-19.6","","37.6","","0.0","","0.0","","2.1","","1.6","","27","","35","","69",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-10","1980","01","10","","-20.9","","-32.1","","-26.5","","44.5","","0.0","","0.0","","0.0","","0.0","","29","","34","","67",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-11","1980","01","11","","-31.7","","-38.7","","-35.2","","53.2","","0.0","","0.0","","0.0","","0.0","","29","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-12","1980","01","12","","-31.8","","-35.5","","-33.7","","51.7","","0.0","","0.0","","1.8","","1.6","","29","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-13","1980","01","13","","-33.9","","-43.5","","-38.7","","56.7","","0.0","","0.0","","0.2","","0.2","","31","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-14","1980","01","14","","-28.8","","-41.9","","-35.4","","53.4","","0.0","","0.0","","0.0","T","0.0","T","31","","18","","39",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-15","1980","01","15","","-19.0","","-29.0","","-24.0","","42.0","","0.0","","0.0","","0.0","T","0.0","T","31","","18","","50",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-16","1980","01","16","","-13.4","","-22.8","","-18.1","","36.1","","0.0","","0.0","","0.0","","0.0","","30","","17","","43",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-17","1980","01","17","","-4.3","","-17.0","","-10.7","","28.7","","0.0","","0.0","","0.0","","0.0","","38","","18","","50",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-18","1980","01","18","","-2.0","","-6.7","","-4.4","","22.4","","0.0","","0.0","","0.0","","0.0","","38","","17","","52",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-19","1980","01","19","","-1.7","","-6.4","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","38","","16","","67",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-20","1980","01","20","","0.3","","-9.5","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","36","","19","","46",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-21","1980","01","21","","1.2","","-3.5","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","36","","18","","61",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-22","1980","01","22","","5.3","","-0.5","","2.4","","15.6","","0.0","","0.0","T","0.0","","0.0","T","36","","16","","70",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-23","1980","01","23","","4.0","","-16.2","","-6.1","","24.1","","0.0","","0.0","","0.0","T","0.0","T","33","","20","","63",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-24","1980","01","24","","-14.4","","-29.1","","-21.8","","39.8","","0.0","","0.0","","0.0","","0.0","","33","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-25","1980","01","25","","-21.7","","-33.8","","-27.8","","45.8","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-26","1980","01","26","","-25.1","","-35.6","","-30.4","","48.4","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-27","1980","01","27","","-23.7","","-34.4","","-29.1","","47.1","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-28","1980","01","28","","-17.9","","-27.9","","-22.9","","40.9","","0.0","","0.0","","0.5","","0.5","","33","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-29","1980","01","29","","-14.8","","-19.0","","-16.9","","34.9","","0.0","","0.0","","0.9","","0.9","","34","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-30","1980","01","30","","-17.5","","-26.3","","-21.9","","39.9","","0.0","","0.0","","1.0","","0.8","","35","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-01-31","1980","01","31","","-14.5","","-22.8","","-18.7","","36.7","","0.0","","0.0","","3.8","","3.6","","38","","18","","46",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-01","1980","02","01","","1.5","","-15.1","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","40","","17","","67",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-02","1980","02","02","","1.7","","-2.4","","-0.4","","18.4","","0.0","","0.0","","0.0","T","0.0","T","39","","16","","57",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-03","1980","02","03","","2.1","","-6.6","","-2.3","","20.3","","0.0","","0.0","","0.0","T","0.0","T","39","","15","","61",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-04","1980","02","04","","-1.0","","-8.5","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","38","","16","","65",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-05","1980","02","05","","-1.0","","-5.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","37","","15","","54",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-06","1980","02","06","","3.6","","-4.2","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","36","","19","","63",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-07","1980","02","07","","4.1","","-7.1","","-1.5","","19.5","","0.0","","0.0","","0.0","T","0.0","T","36","","16","","59",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-08","1980","02","08","","-4.6","","-20.9","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","36","","21","","39",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-09","1980","02","09","","-4.3","","-10.8","","-7.6","","25.6","","0.0","","0.0","","0.0","","0.0","","36","","19","","56",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-10","1980","02","10","","1.6","","-5.6","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","36","","18","","56",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-11","1980","02","11","","0.2","","-14.0","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","36","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-12","1980","02","12","","-5.6","","-16.8","","-11.2","","29.2","","0.0","","0.0","","0.0","T","0.0","T","36","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-13","1980","02","13","","-4.0","","-19.6","","-11.8","","29.8","","0.0","","0.0","","0.0","T","0.0","T","36","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-14","1980","02","14","","-7.3","","-18.0","","-12.7","","30.7","","0.0","","0.0","","0.0","","0.0","","36","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-15","1980","02","15","","-12.3","","-26.2","","-19.3","","37.3","","0.0","","0.0","","0.0","T","0.0","T","36","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-16","1980","02","16","","-14.0","","-29.5","","-21.8","","39.8","","0.0","","0.0","","0.0","T","0.0","T","36","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-17","1980","02","17","","-15.5","","-32.1","","-23.8","","41.8","","0.0","","0.0","","0.0","T","0.0","T","36","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-18","1980","02","18","","-12.1","","-25.7","","-18.9","","36.9","","0.0","","0.0","","0.0","","0.0","","36","","","","<31",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-19","1980","02","19","","-14.2","","-17.7","","-16.0","","34.0","","0.0","","0.0","","0.3","","0.3","","36","","16","","37",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-20","1980","02","20","","-12.4","","-20.3","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","36","","18","","48",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-21","1980","02","21","","-10.4","","-18.1","","-14.3","","32.3","","0.0","","0.0","","0.0","T","0.0","T","36","","17","","46",""
"-135.07","60.71","WHITEHORSE A","2101300","1980-02-22","1980","02","22","","-3.4","","-20.1","","-11.8","","29.8","","0.0","","0.0","","0.0","T","0.0","T","36","","18","","46",""
