"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.77","43.70","BRAMPTON","6150913","1955-01-01","1955","01","01","","3.9","","-8.3","","-2.2","","20.2","","0.0","","15.2","","0.0","","15.2","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-02","1955","01","02","","3.9","","0.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-03","1955","01","03","","4.4","","-5.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-04","1955","01","04","","-1.1","","-4.4","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-05","1955","01","05","","0.0","","-7.2","","-3.6","","21.6","","0.0","","2.0","","0.0","","2.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-06","1955","01","06","","0.0","","-2.2","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-07","1955","01","07","","-1.7","","-6.7","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-08","1955","01","08","","0.0","","-5.6","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-09","1955","01","09","","0.0","","-1.1","","-0.6","","18.6","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-10","1955","01","10","","2.2","","-5.6","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-11","1955","01","11","","-3.9","","-10.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-12","1955","01","12","","-3.3","","-12.2","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-13","1955","01","13","","-3.9","","-13.3","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-14","1955","01","14","","0.0","","-10.6","","-5.3","","23.3","","0.0","","0.0","T","0.0","","0.0","T","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-15","1955","01","15","","2.2","","-1.7","","0.3","","17.7","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-16","1955","01","16","","-3.3","","-5.6","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-17","1955","01","17","","-7.2","","-16.7","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-18","1955","01","18","","-3.9","","-12.2","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-19","1955","01","19","","-6.7","","-13.9","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-20","1955","01","20","","-8.3","","-17.8","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-21","1955","01","21","","1.7","","-18.9","","-8.6","","26.6","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-22","1955","01","22","","1.7","","-5.6","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-23","1955","01","23","","-3.9","","-10.6","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-24","1955","01","24","","-3.3","","-14.4","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-25","1955","01","25","","-1.7","","-10.6","","-6.2","","24.2","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-26","1955","01","26","","-4.4","","-8.9","","-6.7","","24.7","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-27","1955","01","27","","-13.3","","-16.1","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-28","1955","01","28","","-9.4","","-20.6","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-29","1955","01","29","","-8.9","","-16.7","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-30","1955","01","30","","-6.1","","-16.1","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-01-31","1955","01","31","","-6.1","","-16.1","","-11.1","","29.1","","0.0","","0.0","","10.2","","10.2","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-02-01","1955","02","01","","-7.8","","-13.3","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-02-02","1955","02","02","","-16.7","","-24.4","","-20.6","","38.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.77","43.70","BRAMPTON","6150913","1955-02-03","1955","02","03","","-10.6","","-26.1","","-18.4","","36.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
