"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-01","1961","01","01","","-36.1","","-41.7","","-38.9","","56.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-02","1961","01","02","","-30.0","","-42.8","","-36.4","","54.4","","0.0","","0.0","","","M","","M","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-03","1961","01","03","","-28.3","","-34.4","","-31.4","","49.4","","0.0","","0.0","","","M","","M","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-04","1961","01","04","","-28.3","","-37.2","","-32.8","","50.8","","0.0","","0.0","","10.2","","10.2","","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-05","1961","01","05","","-27.8","","-31.7","","-29.8","","47.8","","0.0","","0.0","","10.2","","10.2","","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-06","1961","01","06","","-30.6","","-35.6","","-33.1","","51.1","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-07","1961","01","07","","-31.1","","-40.0","","-35.6","","53.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-08","1961","01","08","","-36.1","","-39.4","","-37.8","","55.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-09","1961","01","09","","-34.4","","-43.3","","-38.9","","56.9","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-10","1961","01","10","","-34.4","","-37.2","","-35.8","","53.8","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-11","1961","01","11","","-35.6","","-44.4","","-40.0","","58.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-12","1961","01","12","","-30.0","","-42.2","","-36.1","","54.1","","0.0","","0.0","","","M","","M","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-13","1961","01","13","","-27.8","","-32.8","","-30.3","","48.3","","0.0","","0.0","","","M","","M","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-14","1961","01","14","","-26.7","","-30.0","","-28.4","","46.4","","0.0","","0.0","","","M","","M","","","","","",""
"-134.88","67.43","FORT MCPHERSON","2201600","1961-01-15","1961","01","15","","-23.3","","-28.3","","-25.8","","43.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
