"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2014-01-01","2014","01","01","","1.5","","-2.1","","-0.3","","18.3","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2014-01-02","2014","01","02","","4.4","","-0.8","","1.8","","16.2","","0.0","","","M","","M","0.6","","5","","","","<31",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2014-01-03","2014","01","03","","4.7","","-0.9","","1.9","","16.1","","0.0","","","M","","M","1.6","","3","","16","","43",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2014-01-04","2014","01","04","","2.2","","-4.8","","-1.3","","19.3","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2014-01-05","2014","01","05","","-1.1","","-7.1","","-4.1","","22.1","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2014-01-06","2014","01","06","","-2.8","","-7.8","","-5.3","","23.3","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2014-01-07","2014","01","07","","-2.9","","-7.5","","-5.2","","23.2","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2014-01-08","2014","01","08","","-1.2","","-4.6","","-2.9","","20.9","","0.0","","","M","","M","","M","4","","","","<31",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2014-01-09","2014","01","09","","4.6","","-2.0","","1.3","","16.7","","0.0","","","M","","M","2.7","","9","","18","","39",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2014-01-10","2014","01","10","","6.8","","-1.0","","2.9","","15.1","","0.0","","","M","","M","2.8","","9","","20","","37",""
