"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.53","45.87","FREDERICTON A","8101500","1973-01-01","1973","01","01","","6.1","","-0.6","","2.8","","15.2","","0.0","","16.3","","0.0","","16.3","","58","","29","","39",""
"-66.53","45.87","FREDERICTON A","8101500","1973-01-02","1973","01","02","","1.7","","-11.7","","-5.0","","23.0","","0.0","","0.0","","0.5","","0.3","","51","","32","","64",""
"-66.53","45.87","FREDERICTON A","8101500","1973-01-03","1973","01","03","","-8.3","","-18.3","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","48","","29","","47",""
"-66.53","45.87","FREDERICTON A","8101500","1973-01-04","1973","01","04","","-5.6","","-20.0","","-12.8","","30.8","","0.0","","0.0","","13.2","","11.4","","48","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1973-01-05","1973","01","05","","0.0","","-8.9","","-4.5","","22.5","","0.0","","0.0","","1.3","","1.3","","61","","29","","61",""
"-66.53","45.87","FREDERICTON A","8101500","1973-01-06","1973","01","06","","-6.7","","-18.3","","-12.5","","30.5","","0.0","","0.0","","1.3","","0.5","","61","","29","","74",""
"-66.53","45.87","FREDERICTON A","8101500","1973-01-07","1973","01","07","","-12.2","","-18.3","","-15.3","","33.3","","0.0","","0.0","","0.0","T","0.0","T","61","","29","","69",""
"-66.53","45.87","FREDERICTON A","8101500","1973-01-08","1973","01","08","","-17.8","","-22.8","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","61","","29","","63",""
"-66.53","45.87","FREDERICTON A","8101500","1973-01-09","1973","01","09","","-15.0","","-26.7","","-20.9","","38.9","","0.0","","0.0","","0.0","","0.0","","61","","29","","43",""
"-66.53","45.87","FREDERICTON A","8101500","1973-01-10","1973","01","10","","-12.8","","-30.6","","-21.7","","39.7","","0.0","","0.0","","0.0","T","0.0","T","58","","20","","42",""
