"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-01","1978","01","01","","2.8","","-3.9","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-02","1978","01","02","","2.2","","-2.8","","-0.3","","18.3","","0.0","","0.0","","10.2","","10.2","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-03","1978","01","03","","0.0","","-3.9","","-2.0","","20.0","","0.0","","0.0","","15.2","","15.2","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-04","1978","01","04","","2.2","","-3.3","","-0.6","","18.6","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-05","1978","01","05","","0.6","","-1.7","","-0.6","","18.6","","0.0","","0.0","","5.8","","5.8","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-06","1978","01","06","","-1.7","","-8.3","","-5.0","","23.0","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-07","1978","01","07","","3.3","","-6.7","","-1.7","","19.7","","0.0","","31.8","","2.5","","34.3","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-08","1978","01","08","","6.7","","0.6","","3.7","","14.3","","0.0","","29.2","","0.0","","29.2","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-09","1978","01","09","","5.6","","2.8","","4.2","","13.8","","0.0","","19.1","","0.0","","19.1","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-10","1978","01","10","","4.4","","1.1","","2.8","","15.2","","0.0","","0.0","T","0.0","","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-11","1978","01","11","","2.8","","-1.1","","-0.3","","18.3","","0.0","","20.3","","0.0","","20.3","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-12","1978","01","12","","4.4","","0.0","E","2.2","","15.8","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-13","1978","01","13","","5.6","","1.0","E","3.3","","14.7","","0.0","","6.4","","0.0","","6.4","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-14","1978","01","14","","7.2","","1.7","","4.5","","13.5","","0.0","","0.0","T","0.0","","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-15","1978","01","15","","7.2","","-1.1","","3.1","","14.9","","0.0","","0.0","T","0.0","","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-16","1978","01","16","","3.9","","0.6","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-17","1978","01","17","","5.6","","0.6","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-18","1978","01","18","","4.4","","0.6","","2.5","","15.5","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-19","1978","01","19","","4.4","","0.0","","2.2","","15.8","","0.0","","0.0","T","0.0","","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-20","1978","01","20","","2.8","","1.1","","2.0","","16.0","","0.0","","5.1","","0.0","T","5.1","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-21","1978","01","21","","1.7","","-1.7","","0.0","","18.0","","0.0","","0.0","","16.5","","16.5","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-22","1978","01","22","","-0.6","","-4.4","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-23","1978","01","23","","-1.7","","-4.4","","-3.1","","21.1","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-24","1978","01","24","","0.0","","-3.3","","-1.7","","19.7","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-25","1978","01","25","","0.6","","-1.7","","-0.6","","18.6","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-26","1978","01","26","","0.0","","-1.1","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-27","1978","01","27","","0.6","","-2.2","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-28","1978","01","28","","-0.6","","-2.8","","-1.7","","19.7","","0.0","","0.0","","8.9","","8.9","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-29","1978","01","29","","0.6","","-3.3","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-30","1978","01","30","","0.6","","-12.8","","-6.1","","24.1","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-01-31","1978","01","31","","0.6","","-4.4","","-1.9","","19.9","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-01","1978","02","01","","-0.6","","-4.4","","-2.5","","20.5","","0.0","","0.0","","14.0","","14.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-02","1978","02","02","","1.7","","-3.3","","-0.8","","18.8","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-03","1978","02","03","","4.4","","-1.1","","1.7","","16.3","","0.0","","0.0","","10.2","E","10.2","E","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-04","1978","02","04","","8.3","","0.6","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-05","1978","02","05","","8.9","","4.4","","6.7","","11.3","","0.0","","12.7","","0.0","","12.7","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-06","1978","02","06","","5.6","","0.6","","3.1","","14.9","","0.0","","2.5","","0.0","","2.5","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-07","1978","02","07","","4.4","","0.0","","2.2","","15.8","","0.0","","17.8","","0.0","","17.8","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-08","1978","02","08","","2.2","","-1.1","","0.6","","17.4","","0.0","","0.0","","20.3","","20.3","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-09","1978","02","09","","-1.1","","-3.3","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-10","1978","02","10","","-0.6","","-5.6","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-11","1978","02","11","","1.1","","-5.6","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-12","1978","02","12","","0.6","","-5.0","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-13","1978","02","13","","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","6.4","","6.4","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-14","1978","02","14","","0.6","","-1.7","","-0.6","","18.6","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-15","1978","02","15","","-1.1","","-3.3","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-16","1978","02","16","","-1.1","","-5.6","","-3.4","","21.4","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-17","1978","02","17","","1.1","","-3.3","","-1.1","","19.1","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-18","1978","02","18","","4.4","","-1.1","","1.7","","16.3","","0.0","","0.0","T","0.0","","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-19","1978","02","19","","8.9","","-0.6","","4.2","","13.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-20","1978","02","20","","8.9","","3.9","","6.4","","11.6","","0.0","","10.2","","0.0","","10.2","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-21","1978","02","21","","5.6","","2.8","","4.2","","13.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-22","1978","02","22","","5.6","","2.8","","4.2","","13.8","","0.0","","10.2","","0.0","","10.2","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-23","1978","02","23","","3.9","","0.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-24","1978","02","24","","3.9","","-1.1","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-25","1978","02","25","","1.1","","-1.1","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-26","1978","02","26","","0.0","","-2.2","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-27","1978","02","27","","-0.6","","-5.0","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-02-28","1978","02","28","","0.6","","-4.4","","-1.9","","19.9","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-01","1978","03","01","","0.6","","-5.6","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-02","1978","03","02","","1.7","","-3.9","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-03","1978","03","03","","1.7","","-4.4","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-04","1978","03","04","","5.6","","-2.8","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-05","1978","03","05","","5.0","","-1.1","","2.0","","16.0","","0.0","","0.8","","0.0","","0.8","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-06","1978","03","06","","2.8","","0.0","","1.4","","16.6","","0.0","","48.8","","0.0","T","48.8","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-07","1978","03","07","","3.9","","0.6","","2.3","","15.7","","0.0","","13.7","","0.0","","13.7","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-08","1978","03","08","","3.9","","0.6","","2.3","","15.7","","0.0","","1.0","","0.0","","1.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-09","1978","03","09","","1.7","","-1.7","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-10","1978","03","10","","4.4","","-2.2","","1.1","","16.9","","0.0","","0.0","T","3.3","","3.3","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-11","1978","03","11","","2.8","","-1.1","","0.9","","17.1","","0.0","","1.5","","0.0","T","1.5","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-12","1978","03","12","","0.6","","-3.9","","-1.7","","19.7","","0.0","","0.0","","12.7","","12.7","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-13","1978","03","13","","1.7","","-3.3","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-14","1978","03","14","","3.3","","-5.6","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-15","1978","03","15","","3.9","","-5.0","","-0.6","","18.6","","0.0","","0.0","C","0.0","","0.0","C","","","","","",""
"-123.08","49.38","N VANC GROUSE MTN RESORT","1105658","1978-03-16","1978","03","16","","2.0","E","0.6","","1.3","","16.7","","0.0","","0.0","C","0.0","","0.0","C","","","","","",""
