"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO","6158350","1850-01-01","1850","01","01","","-0.6","","-10.6","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-02","1850","01","02","","-3.3","","-7.2","","-5.3","","23.3","","0.0","","0.0","","1.5","","1.5","","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-03","1850","01","03","","0.0","","-6.7","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-04","1850","01","04","","-3.3","","-8.3","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-05","1850","01","05","","-3.3","","-7.2","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-06","1850","01","06","","-1.1","","-7.8","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-07","1850","01","07","","2.2","","-3.3","","-0.6","","18.6","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-08","1850","01","08","","1.7","","-3.9","","-1.1","","19.1","","0.0","","0.0","T","0.0","T","0.0","T","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-09","1850","01","09","","3.3","","-5.6","","-1.2","","19.2","","0.0","","0.0","T","0.3","","0.3","","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-10","1850","01","10","","2.2","","-5.6","","-1.7","","19.7","","0.0","","9.1","","0.0","","9.1","","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-11","1850","01","11","","3.9","","1.7","","2.8","","15.2","","0.0","","6.9","","0.0","","6.9","","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-12","1850","01","12","","3.3","","-5.0","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.40","43.67","TORONTO","6158350","1850-01-13","1850","01","13","","-5.0","","-12.2","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
