"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.53","45.87","FREDERICTON A","8101500","1961-01-01","1961","01","01","","-2.8","","-12.8","","-7.8","","25.8","","0.0","","0.0","T","30.7","","30.7","","8","","5","","76",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-02","1961","01","02","","-2.2","","-7.2","","-4.7","","22.7","","0.0","","0.0","","0.8","","0.8","","30","","5","","69",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-03","1961","01","03","","-5.6","","-18.3","","-12.0","","30.0","","0.0","","0.0","","9.4","","9.4","","30","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-04","1961","01","04","","-5.6","","-10.0","","-7.8","","25.8","","0.0","","0.0","","6.6","","6.6","","38","","29","","48",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-05","1961","01","05","","-8.3","","-13.9","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","43","","29","","66",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-06","1961","01","06","","-5.0","","-16.1","","-10.6","","28.6","","0.0","","0.0","","2.5","","2.5","","43","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-07","1961","01","07","","-3.9","","-12.8","","-8.4","","26.4","","0.0","","0.0","","1.0","","1.0","","43","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-08","1961","01","08","","-2.2","","-7.8","","-5.0","","23.0","","0.0","","0.0","T","4.6","","4.6","","43","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-09","1961","01","09","","-4.4","","-9.4","","-6.9","","24.9","","0.0","","0.0","","0.5","","0.5","","46","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-10","1961","01","10","","-7.8","","-17.2","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","46","","29","","35",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-11","1961","01","11","","-3.3","","-24.4","","-13.9","","31.9","","0.0","","0.0","","0.3","","0.3","","46","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-12","1961","01","12","","-11.7","","-14.4","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","46","","29","","66",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-13","1961","01","13","","-8.3","","-18.3","","-13.3","","31.3","","0.0","","0.0","","0.3","","0.3","","46","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-14","1961","01","14","","3.3","","-10.0","","-3.4","","21.4","","0.0","","0.0","","0.0","T","0.0","T","46","","23","S","42",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-15","1961","01","15","","-7.2","","-18.3","","-12.8","","30.8","","0.0","","0.0","","1.8","","1.8","","41","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-16","1961","01","16","","-5.0","","-21.7","","-13.4","","31.4","","0.0","","0.0","","4.6","","4.6","","41","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-17","1961","01","17","","-0.6","","-6.7","","-3.7","","21.7","","0.0","","0.0","","1.0","","1.0","","43","","","","<31",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-18","1961","01","18","","1.7","","-10.0","","-4.2","","22.2","","0.0","","0.0","","0.0","T","0.0","T","43","","29","","63",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-19","1961","01","19","","-16.7","","-21.7","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","43","","29","","56",""
"-66.53","45.87","FREDERICTON A","8101500","1961-01-20","1961","01","20","","-13.9","","-24.4","","-19.2","","37.2","","0.0","","0.0","","19.6","","19.6","","43","","2","","80",""
